  SCF Step    1                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     4.0832     0.1283                                                                      
  0.1000     3.4393     0.4322                                                                      
  0.1500     2.7886     0.7885                                                                      
  0.2000     2.2729     1.1425                                                                      
  0.2500     1.8696     1.4684                                                                      
  0.3000     1.5370     1.7383                                                                      
  0.3500     1.2582     1.9368                                                                      
  0.4000     1.0276     2.0661                                                                      
  0.4500     0.8397     2.1367                                                                      
  0.5000     0.6872     2.1591                                                                      
  0.5500     0.5633     2.1415                                                                      
  0.6000     0.4621     2.0903                                                                      
  0.6500     0.3789     2.0116                                                                      
  0.7000     0.3104     1.9115                                                                      
  0.7500     0.2541     1.7962                                                                      
  0.8000     0.2079     1.6717                                                                      
  0.8500     0.1700     1.5433                                                                      
  0.9000     0.1390     1.4151                                                                      
  0.9500     0.1137     1.2901                                                                      
  1.0000     0.0931     1.1702                                                                      
  1.0500     0.0763     1.0568                                                                      
  1.1000     0.0625     0.9505                                                                      
  1.1500     0.0512     0.8516                                                                      
  1.2000     0.0420     0.7601                                                                      
  1.2500     0.0344     0.6760                                                                      
  1.3000     0.0282     0.5991                                                                      
  1.3500     0.0231     0.5291                                                                      
  1.4000     0.0189     0.4658                                                                      
  1.4500     0.0155     0.4089                                                                      
  1.5000     0.0127     0.3579                                                                      
  1.5500     0.0104     0.3125                                                                      
  1.6000     0.0085     0.2723                                                                      
  1.6500     0.0069     0.2368                                                                      
  1.7000     0.0057     0.2056                                                                      
  1.7500     0.0046     0.1782                                                                      
  1.8000     0.0038     0.1543                                                                      
  1.8500     0.0031     0.1335                                                                      
  1.9000     0.0025     0.1153                                                                      
  1.9500     0.0021     0.0996                                                                      
  2.0000     0.0017     0.0859                                                                      
  2.0500     0.0014     0.0740                                                                      
  2.1000     0.0012     0.0637                                                                      
  2.1500     0.0009     0.0548                                                                      
  2.2000     0.0008     0.0471                                                                      
  2.2500     0.0006     0.0404                                                                      
  2.3000     0.0005     0.0347                                                                      
  2.3500     0.0004     0.0297                                                                      
  2.4000     0.0004     0.0254                                                                      
  2.4500     0.0003     0.0217                                                                      
  2.5000     0.0002     0.0185                                                                      
  2.5500     0.0002     0.0157                                                                      
  2.6000     0.0002     0.0134                                                                      
